name,value,date
许嵩,4729,2018-12-21
许嵩,5021,2018-12-22
许嵩,5078,2018-12-23
许嵩,4599,2018-12-24
许嵩,4594,2018-12-25
许嵩,4468,2018-12-26
许嵩,4687,2018-12-27
许嵩,4370,2018-12-28
许嵩,4569,2018-12-29
张雨绮,50507,2018-10-01
张雨绮,31220,2018-10-02
张雨绮,23639,2018-10-03
张雨绮,19354,2018-10-04
张雨绮,15524,2018-10-05
张雨绮,12937,2018-10-06
张雨绮,13113,2018-10-07
张雨绮,9086,2018-10-08
张雨绮,5507,2018-10-09
张雨绮,2187,2018-10-10
张雨绮,1720,2018-10-11
张雨绮,1863,2018-10-12
张雨绮,3037,2018-10-13
张雨绮,5696,2018-10-14
张雨绮,4523,2018-10-15
张雨绮,7604,2018-10-16
张雨绮,2311,2018-10-17
张雨绮,5772,2018-10-18
张雨绮,7397,2018-10-19
张雨绮,7514,2018-10-20
张雨绮,8389,2018-10-21
张雨绮,8761,2018-10-22
张雨绮,8757,2018-10-23
张雨绮,7577,2018-10-24
张雨绮,8971,2018-10-25
张雨绮,8508,2018-10-26
张雨绮,12617,2018-10-27
张雨绮,8821,2018-10-28
张雨绮,7535,2018-10-29
张雨绮,6880,2018-10-30
张雨绮,6771,2018-10-31
张雨绮,6542,2018-11-01
张雨绮,6205,2018-11-02
张雨绮,6401,2018-11-03
张雨绮,19000,2018-11-04
张雨绮,9571,2018-11-05
张雨绮,7443,2018-11-06
张雨绮,5834,2018-11-07
张雨绮,6525,2018-11-08
张雨绮,7771,2018-11-09
张雨绮,6992,2018-11-10
张雨绮,5829,2018-11-11
张雨绮,5188,2018-11-12
张雨绮,5516,2018-11-13
张雨绮,5008,2018-11-14
张雨绮,5206,2018-11-15
张雨绮,5189,2018-11-16
张雨绮,8424,2018-11-17
张雨绮,15664,2018-11-18
张雨绮,33333,2018-11-19
张雨绮,19191,2018-11-20
张雨绮,15974,2018-11-21
张雨绮,9200,2018-11-22
张雨绮,8158,2018-11-23
张雨绮,12574,2018-11-24
张雨绮,20793,2018-11-25
张雨绮,15379,2018-11-26
张雨绮,55796,2018-11-27
张雨绮,25229,2018-11-28
张雨绮,12101,2018-11-29
张雨绮,14060,2018-11-30
张雨绮,10185,2018-12-01
张雨绮,9647,2018-12-02
张雨绮,7456,2018-12-03
张雨绮,7227,2018-12-04
张雨绮,7830,2018-12-05
张雨绮,6955,2018-12-06
张雨绮,6425,2018-12-07
张雨绮,7066,2018-12-08
张雨绮,6891,2018-12-09
张雨绮,5490,2018-12-10
张雨绮,5566,2018-12-11
张雨绮,4680,2018-12-12
张雨绮,4947,2018-12-13
张雨绮,5115,2018-12-14
张雨绮,6264,2018-12-15
张雨绮,6461,2018-12-16
张雨绮,5276,2018-12-17
张雨绮,5448,2018-12-18
张雨绮,5249,2018-12-19
张雨绮,4931,2018-12-20
张雨绮,4577,2018-12-21
张雨绮,5718,2018-12-22
张雨绮,6448,2018-12-23
张雨绮,7137,2018-12-24
张雨绮,5721,2018-12-25
张雨绮,5004,2018-12-26
张雨绮,4815,2018-12-27
张雨绮,5707,2018-12-28
张雨绮,5140,2018-12-29
周星驰,15804,2018-10-01
周星驰,15327,2018-10-02
周星驰,15857,2018-10-03
周星驰,16808,2018-10-04
周星驰,17578,2018-10-05
周星驰,17779,2018-10-06
周星驰,15885,2018-10-07
周星驰,14109,2018-10-08
周星驰,14417,2018-10-09
周星驰,14361,2018-10-10
周星驰,15692,2018-10-11
周星驰,14184,2018-10-12
周星驰,16147,2018-10-13
周星驰,17400,2018-10-14
周星驰,15463,2018-10-15
周星驰,15007,2018-10-16
周星驰,13843,2018-10-17
周星驰,13870,2018-10-18
周星驰,13385,2018-10-19
周星驰,15566,2018-10-20
周星驰,15924,2018-10-21
周星驰,13926,2018-10-22
周星驰,13649,2018-10-23
周星驰,13287,2018-10-24
周星驰,13570,2018-10-25
周星驰,13053,2018-10-26
周星驰,12255,2018-10-27
周星驰,12515,2018-10-28
周星驰,13376,2018-10-29
周星驰,13016,2018-10-30
周星驰,13127,2018-10-31
周星驰,14087,2018-11-01
周星驰,13158,2018-11-02
周星驰,25588,2018-11-03
周星驰,21771,2018-11-04
周星驰,20409,2018-11-05
周星驰,17623,2018-11-06
周星驰,16599,2018-11-07
周星驰,15030,2018-11-08
周星驰,14685,2018-11-09
周星驰,15456,2018-11-10
周星驰,14616,2018-11-11
周星驰,13350,2018-11-12
周星驰,12540,2018-11-13
周星驰,12692,2018-11-14
周星驰,12464,2018-11-15
周星驰,12630,2018-11-16
周星驰,17593,2018-11-17
周星驰,18458,2018-11-18
周星驰,13660,2018-11-19
周星驰,19383,2018-11-20
周星驰,15149,2018-11-21
周星驰,13269,2018-11-22
周星驰,12847,2018-11-23
周星驰,14989,2018-11-24
周星驰,14959,2018-11-25
周星驰,14933,2018-11-26
周星驰,17330,2018-11-27
周星驰,15027,2018-11-28
周星驰,14997,2018-11-29
周星驰,18247,2018-11-30
周星驰,17857,2018-12-01
周星驰,18379,2018-12-02
周星驰,15392,2018-12-03
周星驰,15811,2018-12-04
周星驰,14560,2018-12-05
周星驰,13661,2018-12-06
周星驰,13732,2018-12-07
周星驰,17493,2018-12-08
周星驰,17500,2018-12-09
周星驰,14566,2018-12-10
周星驰,14587,2018-12-11
周星驰,14085,2018-12-12
周星驰,14415,2018-12-13
周星驰,14711,2018-12-14
周星驰,16714,2018-12-15
周星驰,17292,2018-12-16
周星驰,17085,2018-12-17
周星驰,18218,2018-12-18
周星驰,16405,2018-12-19
周星驰,16328,2018-12-20
周星驰,19120,2018-12-21
周星驰,21633,2018-12-22
周星驰,28876,2018-12-23
周星驰,17492,2018-12-24
周星驰,17907,2018-12-25
周星驰,20706,2018-12-26
周星驰,18556,2018-12-27
周星驰,17074,2018-12-28
周星驰,18890,2018-12-29
杨紫,32011,2018-10-01
杨紫,32559,2018-10-02
杨紫,32408,2018-10-03
杨紫,31364,2018-10-04
杨紫,33486,2018-10-05
杨紫,32620,2018-10-06
杨紫,29654,2018-10-07
杨紫,21850,2018-10-08
杨紫,21197,2018-10-09
杨紫,20581,2018-10-10
杨紫,21934,2018-10-11
杨紫,23784,2018-10-12
杨紫,33979,2018-10-13
杨紫,48999,2018-10-14
杨紫,52301,2018-10-15
杨紫,40672,2018-10-16
杨紫,31557,2018-10-17
杨紫,27425,2018-10-18
杨紫,26263,2018-10-19
杨紫,31513,2018-10-20
杨紫,31793,2018-10-21
杨紫,22764,2018-10-22
杨紫,21637,2018-10-23
杨紫,19313,2018-10-24
杨紫,19018,2018-10-25
杨紫,18846,2018-10-26
杨紫,20977,2018-10-27
杨紫,20956,2018-10-28
杨紫,18427,2018-10-29
杨紫,18603,2018-10-30
杨紫,18216,2018-10-31
杨紫,17596,2018-11-01
杨紫,19439,2018-11-02
杨紫,22922,2018-11-03
杨紫,27511,2018-11-04
杨紫,19231,2018-11-05
杨紫,114534,2018-11-06
杨紫,38007,2018-11-07
杨紫,22256,2018-11-08
杨紫,20962,2018-11-09
杨紫,22178,2018-11-10
杨紫,20283,2018-11-11
杨紫,17560,2018-11-12
杨紫,17233,2018-11-13
杨紫,17710,2018-11-14
杨紫,18724,2018-11-15
杨紫,19520,2018-11-16
杨紫,31639,2018-11-17
杨紫,26172,2018-11-18
杨紫,21527,2018-11-19
杨紫,19753,2018-11-20
杨紫,20535,2018-11-21
杨紫,18781,2018-11-22
杨紫,21623,2018-11-23
杨紫,29732,2018-11-24
杨紫,26165,2018-11-25
杨紫,20906,2018-11-26
杨紫,19870,2018-11-27
杨紫,20225,2018-11-28
杨紫,17449,2018-11-29
杨紫,17749,2018-11-30
杨紫,21466,2018-12-01
杨紫,21470,2018-12-02
杨紫,16885,2018-12-03
杨紫,15427,2018-12-04
杨紫,15795,2018-12-05
杨紫,15758,2018-12-06
杨紫,15424,2018-12-07
杨紫,17919,2018-12-08
杨紫,18265,2018-12-09
杨紫,14614,2018-12-10
杨紫,14904,2018-12-11
杨紫,15012,2018-12-12
杨紫,15608,2018-12-13
杨紫,22452,2018-12-14
杨紫,22975,2018-12-15
杨紫,21154,2018-12-16
杨紫,17877,2018-12-17
杨紫,16860,2018-12-18
杨紫,18786,2018-12-19
杨紫,19219,2018-12-20
杨紫,20226,2018-12-21
杨紫,25863,2018-12-22
杨紫,29252,2018-12-23
杨紫,26144,2018-12-24
杨紫,22655,2018-12-25
杨紫,20821,2018-12-26
杨紫,21942,2018-12-27
杨紫,21710,2018-12-28
杨紫,22098,2018-12-29
王宝强,5307,2018-10-01
王宝强,5807,2018-10-02
王宝强,5988,2018-10-03
王宝强,6012,2018-10-04
王宝强,6156,2018-10-05
王宝强,6266,2018-10-06
王宝强,5785,2018-10-07
王宝强,5152,2018-10-08
王宝强,4956,2018-10-09
王宝强,7469,2018-10-10
王宝强,5666,2018-10-11
王宝强,4920,2018-10-12
王宝强,5034,2018-10-13
王宝强,5676,2018-10-14
王宝强,5293,2018-10-15
王宝强,6248,2018-10-16
王宝强,5269,2018-10-17
王宝强,27143,2018-10-18
王宝强,11477,2018-10-19
王宝强,7656,2018-10-20
王宝强,7477,2018-10-21
王宝强,12606,2018-10-22
王宝强,8249,2018-10-23
王宝强,6298,2018-10-24
王宝强,6214,2018-10-25
王宝强,5814,2018-10-26
王宝强,5168,2018-10-27
王宝强,5056,2018-10-28
王宝强,6301,2018-10-29
王宝强,5606,2018-10-30
王宝强,5071,2018-10-31
王宝强,4646,2018-11-01
王宝强,4929,2018-11-02
王宝强,5037,2018-11-03
王宝强,7089,2018-11-04
王宝强,5806,2018-11-05
王宝强,5808,2018-11-06
王宝强,5993,2018-11-07
王宝强,4977,2018-11-08
王宝强,4447,2018-11-09
王宝强,4821,2018-11-10
王宝强,4557,2018-11-11
王宝强,5509,2018-11-12
王宝强,5997,2018-11-13
王宝强,5659,2018-11-14
王宝强,12312,2018-11-15
王宝强,16861,2018-11-16
王宝强,11500,2018-11-17
王宝强,8734,2018-11-18
王宝强,8117,2018-11-19
王宝强,6354,2018-11-20
王宝强,5796,2018-11-21
王宝强,4862,2018-11-22
王宝强,4807,2018-11-23
王宝强,7104,2018-11-24
王宝强,8116,2018-11-25
王宝强,8184,2018-11-26
王宝强,5507,2018-11-27
王宝强,6695,2018-11-28
王宝强,6326,2018-11-29
王宝强,5438,2018-11-30
王宝强,5510,2018-12-01
王宝强,85413,2018-12-02
王宝强,46257,2018-12-03
王宝强,20725,2018-12-04
王宝强,13809,2018-12-05
王宝强,10325,2018-12-06
王宝强,10350,2018-12-07
王宝强,12268,2018-12-08
王宝强,8655,2018-12-09
王宝强,7296,2018-12-10
王宝强,7104,2018-12-11
王宝强,7382,2018-12-12
王宝强,6360,2018-12-13
王宝强,5835,2018-12-14
王宝强,5757,2018-12-15
王宝强,6018,2018-12-16
王宝强,6022,2018-12-17
王宝强,5189,2018-12-18
